#Mod_Priority,#Mod_Status,#Mod_Name,#Note,#Mod_Nexus_URL,#Download_File_Name
"0118","+","Wheeler","","https://www.nexusmods.com/skyrimspecialedition/mods/97345","C:/Users/Leandro/Downloads/Wheeler-97345-1-2-1692836360.zip"
"0119","+","WIDeadBodyCleanupScript Crash Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/62413","C:/Users/Leandro/Downloads/WIDeadBodyCleanupScript Crash Fix-62413-0-5-1765880451.7z"
"0120","+","Widescreen Scale Removed","","https://www.nexusmods.com/skyrimspecialedition/mods/136793","C:/Users/Leandro/Downloads/Widescreen Scale Removed-136793-1-0-4-1767116931.7z"
"0121","+","Paarthurnax - Quest Expansion","","https://www.nexusmods.com/skyrimspecialedition/mods/51711","C:/Users/Leandro/Downloads/Paarthurnax - Quest Expansion-51711-1-12-1682859219.zip"
"0122","+","Fish Anywhere With Water","","https://www.nexusmods.com/skyrimspecialedition/mods/60915","C:/Users/Leandro/Downloads/Fish Anywhere With Water-60915-0-5-1648946832.7z"
"0123","-","ANIMAÇÕES_separator","","",""
"0124","+","Additional Pandora Patch For CRC32 Cache Parkour","","https://www.nexusmods.com/skyrimspecialedition/mods/132292","C:/Users/Leandro/Downloads/Additional Pandora Patch For CRC32 Cache-132292-3-4-0-1769981443.rar"
"0125","+","Alcohol Drunk Effect Redone","","https://www.nexusmods.com/skyrimspecialedition/mods/25811","C:/Users/Leandro/Downloads/Alcohol Drunk Effect Redone-25811-0-1-1558126383.7z"
"0126","+","Animated Forge Water","","https://www.nexusmods.com/skyrimspecialedition/mods/52322","C:/Users/Leandro/Downloads/Animated Forge Water-52322-0-9-1728437710.7z"
"0127","+","Animated Inebriation Drunk","","https://www.nexusmods.com/skyrimspecialedition/mods/57214","C:/Users/Leandro/Downloads/Animated Inebriation Standalone-57214-2-0-9B-1737766803.7z"
"0128","+","Animated Ingredients","","https://www.nexusmods.com/skyrimspecialedition/mods/72852","C:/Users/Leandro/Downloads/Animated Ingredients-72852-5-0-2-1700771449.zip"
"0129","+","Animated Poisons","","https://www.nexusmods.com/skyrimspecialedition/mods/72849","C:/Users/Leandro/Downloads/Animated Poisons-72849-5-1-1-1700771968.zip"
"0130","+","Animation Motion Revolution","","https://www.nexusmods.com/skyrimspecialedition/mods/50258","C:/Users/Leandro/Downloads/Animation Motion Revolution-50258-1-5-3-1664395662.rar"
"0131","+","Animation Queue Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/82395","C:/Users/Leandro/Downloads/Animation Queue Fix-82395-1-0-1-1673338766.7z"
"0132","+","Better Jumping AE","","https://www.nexusmods.com/skyrimspecialedition/mods/18967","C:/Users/Leandro/Downloads/Better Jumping AE-18967-1-8-6-1663530469.zip"
"0133","+","Conditional Tavern Cheering (OAR)","","https://www.nexusmods.com/skyrimspecialedition/mods/63029","C:/Users/Leandro/Downloads/Conditional Tavern Cheering (OAR)-63029-1-3-0-1705710145.zip"
"0134","+","DOVAJUMP","","https://www.nexusmods.com/skyrimspecialedition/mods/125550","C:/Users/Leandro/Downloads/DOVAJUMP-125550-0-6-0-1767188785.rar"
"0135","+","Drunk animations","","https://www.nexusmods.com/skyrimspecialedition/mods/62191","C:/Users/Leandro/Downloads/Drunk animations-62191-1-6-1-1746713078.zip"
"0136","+","Drunk animations for Animated Inebriation","","https://www.nexusmods.com/skyrimspecialedition/mods/62191","C:/Users/Leandro/Downloads/Drunk animations for Animated Inebriation-62191-1-6-1-1746713374.zip"
"0137","+","Durak Teleport Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/65735","C:/Users/Leandro/Downloads/Durak Teleport Fix-65735-1-0-1648697020.7z"
"0138","+","Eating Animations - Fishing Patch","","https://www.nexusmods.com/skyrimspecialedition/mods/63309","C:/Users/Leandro/Downloads/Eating Animations - Fishing Patch-63309-1-1-1668183863.7z"
"0139","+","Eating Animations - Patch Collection","","https://www.nexusmods.com/skyrimspecialedition/mods/63741","C:/Users/Leandro/Downloads/Eating Animations - Patch Collection-63741-2-10-1683906496.7z"
"0140","+","dTry's Key Utils AE-NG-2024","","","C:/Users/Leandro/Downloads/dTry's Key Utils AE-NG-2024.zip"
"0141","+","dTry's Key Utils extend","","https://www.nexusmods.com/skyrimspecialedition/mods/141040","C:/Users/Leandro/Downloads/dTry's Key Utils extend-141040-2-3-1767018872 (1).7z"
"0142","+","Eating Animations and Sounds - NPC Follower - Patc","EATING","https://www.nexusmods.com/skyrimspecialedition/mods/97535","C:/Users/Leandro/Downloads/Eating Animations and Sounds - NPC Follower - Patc-97535-1-1691083168.rar"
"0143","+","Eating Animations And Sounds SE","","https://www.nexusmods.com/skyrimspecialedition/mods/42602","C:/Users/Leandro/Downloads/Eating Animations And Sounds SE V1.9.4-42602-1-9-4-1668786874.7z"
"0144","+","Eating Animations and Sounds - 1st Person","","https://www.nexusmods.com/skyrimspecialedition/mods/133246","C:/Users/Leandro/Downloads/Nova pasta/Eating Animations and Sounds - 1st Person-133246-1-2-1735413409.zip"
"0145","+","Flute Animation Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/69609","C:/Users/Leandro/Downloads/Flute Animation Fix-69609-1-3-1727765977.zip"
"0146","+","Gesture Animation Remix (OAR) - main archive","","https://www.nexusmods.com/skyrimspecialedition/mods/64420","C:/Users/Leandro/Downloads/Gesture Animation Remix (OAR) - main archive-64420-2-1-1-1708878617.zip"
"0147","+","Go To Bed - DAR patch SE PLAYER and NPCs - AE","","https://www.nexusmods.com/skyrimspecialedition/mods/43714","C:/Users/Leandro/Downloads/Go To Bed - DAR patch SE PLAYER and NPCs - AE-43714-1-3-1642641139.7z"
"0148","+","Grab and Eat","","https://www.nexusmods.com/skyrimspecialedition/mods/118899","C:/Users/Leandro/Downloads/Grab and Eat-118899-1-1-1770670392.zip"
